date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared
2017-10-01,Yellow Taxi,315084,4681421,26536,12703,11931,29.1,12.5,22.1,7.9,14.8,0.68,
2017-09-01,FHV - High Volume,468318,,67408,65690,43120,19.7,6.2,19.4,6.1,20.0,,84200.0
2017-09-01,Green Taxi,29409,402289,4693,4320,3337,23.2,5.8,21.9,5.7,13.3,0.51,
2017-09-01,Yellow Taxi,298163,4422289,25604,12656,11499,27.3,12.1,20.6,7.9,14.8,0.67,
2017-08-01,FHV - High Volume,429691,,65522,64054,41372,20.0,6.0,19.8,6.0,20.0,,76026.0
2017-08-01,Green Taxi,27976,373385,4769,4384,3347,23.7,5.6,22.3,5.5,12.6,0.5,
2017-08-01,Yellow Taxi,271676,3985437,25164,12690,11550,28.2,11.7,21.6,7.7,14.0,0.66,
2017-07-01,FHV - High Volume,421285,,65178,63604,40679,19.8,6.0,19.6,5.9,20.0,,68756.0
2017-07-01,Green Taxi,29503,391767,4969,4579,3463,23.4,5.7,22.2,5.5,12.6,0.5,
2017-07-01,Yellow Taxi,277042,4037177,26108,12792,11583,28.1,11.8,21.1,7.7,14.1,0.66,
2017-06-01,FHV - High Volume,420017,,63721,62331,40408,19.5,5.9,19.2,5.8,21.0,,63620.0
2017-06-01,Green Taxi,32544,432850,5072,4686,3629,23.2,5.7,22.0,5.6,13.2,0.5,
2017-06-01,Yellow Taxi,321877,4751867,26664,12894,12038,28.0,12.4,21.5,7.8,14.8,0.67,
2017-05-01,FHV - High Volume,399546,,61532,59795,38015,19.7,5.9,19.4,5.9,0.0,,
2017-05-01,Green Taxi,34174,449352,5302,4823,3740,24.0,5.8,22.4,5.7,13.1,0.5,
2017-05-01,Yellow Taxi,325857,4848494,27655,12977,12159,29.0,12.6,21.9,7.8,15.0,0.67,
2017-04-01,FHV - High Volume,393918,,58963,57181,36750,19.3,6.0,18.9,6.0,0.0,,
2017-04-01,Green Taxi,36024,465532,5337,4844,3803,23.6,6.0,22.0,5.8,12.5,0.5,
2017-04-01,Yellow Taxi,334865,4865420,27802,12981,12229,28.3,12.8,21.4,7.9,14.3,0.67,
2017-03-01,FHV - High Volume,402938,,56768,54836,35619,20.1,6.2,19.7,6.1,0.0,,
2017-03-01,Green Taxi,37341,473888,5357,4923,3789,23.9,6.1,22.5,5.9,12.4,0.49,
2017-03-01,Yellow Taxi,332075,4770322,27900,12990,12146,29.0,12.8,21.8,7.9,14.0,0.68,
2017-02-01,FHV - High Volume,375693,,55552,53577,34850,18.2,6.1,17.8,6.0,0.0,,
2017-02-01,Green Taxi,36509,461734,5533,5089,3895,21.4,5.9,20.2,5.8,12.1,0.5,
2017-02-01,Yellow Taxi,327451,4531822,27523,12967,12112,26.2,12.6,19.6,7.9,13.3,0.68,
2017-01-01,FHV - High Volume,344972,,54665,52538,32782,19.3,6.0,18.9,5.9,0.0,,
2017-01-01,Green Taxi,34497,431323,5751,5277,3918,23.0,5.7,21.7,5.5,11.8,0.49,
2017-01-01,Yellow Taxi,313229,4314880,27782,13058,11990,28.5,12.2,21.0,7.8,13.0,0.67,
2016-12-01,FHV - High Volume,347858,,53130,50955,32336,19.7,6.1,19.1,6.0,0.0,,
2016-12-01,Green Taxi,39488,508205,5935,5399,4166,23.9,6.0,22.4,5.8,12.4,0.48,
2016-12-01,Yellow Taxi,337071,4869413,28743,13197,12329,29.0,12.8,21.7,7.8,14.6,0.64,
2016-11-01,FHV - High Volume,318664,,50932,49110,30921,18.9,5.9,18.4,5.8,0.0,,
2016-11-01,Green Taxi,38272,501128,6065,5513,4258,23.2,5.8,21.6,5.7,12.8,0.49,
2016-11-01,Yellow Taxi,336737,4980423,29080,13159,12437,28.4,12.9,21.3,7.8,15.9,0.66,
2016-10-01,FHV - High Volume,310749,,49545,47758,30097,19.5,6.0,19.0,5.9,0.0,,
2016-10-01,Green Taxi,40405,540913,6215,5604,4331,24.0,5.9,22.1,5.8,13.0,0.5,
2016-10-01,Yellow Taxi,350380,5196275,29383,13198,12433,29.2,13.1,21.8,7.9,16.0,0.66,
2016-09-01,FHV - High Volume,292548,,48448,46308,28684,18.6,6.0,18.0,5.8,0.0,,
2016-09-01,Green Taxi,38741,529544,6341,5690,4272,22.5,5.8,20.7,5.7,13.4,0.49,
2016-09-01,Yellow Taxi,337321,5167170,28526,13166,12137,27.7,12.8,20.6,7.9,16.0,0.66,
2016-08-01,FHV - High Volume,263457,,45496,43375,25589,18.3,5.9,17.7,5.8,0.0,,
2016-08-01,Green Taxi,40241,547786,6359,5774,4329,23.2,6.0,21.7,5.9,12.9,0.49,
2016-08-01,Yellow Taxi,320718,4722586,28340,13203,12266,28.8,12.5,21.7,7.8,15.5,0.64,
2016-07-01,FHV - High Volume,252701,,40398,38843,23844,19.0,6.0,18.5,5.9,0.0,,
2016-07-01,Green Taxi,42979,589602,6471,5868,4408,23.3,6.2,21.7,6.0,13.0,0.5,
2016-07-01,Yellow Taxi,332231,4924633,29062,13293,12266,28.6,12.6,21.3,7.8,15.7,0.64,
2016-06-01,FHV - High Volume,242233,,38771,37615,23824,19.0,6.0,18.7,5.9,0.0,,
2016-06-01,Green Taxi,46817,645016,6582,5959,4711,23.7,6.2,22.1,6.1,13.5,0.49,
2016-06-01,Yellow Taxi,371257,5564246,29899,13354,12781,28.7,13.3,21.8,7.8,16.7,0.66,
2016-05-01,FHV - High Volume,226667,,36443,35611,21717,19.0,6.1,18.7,6.0,0.0,,
2016-05-01,Green Taxi,49573,681032,6672,6008,4730,24.4,6.5,22.6,6.3,13.5,0.5,
2016-05-01,Yellow Taxi,381878,5654653,30509,13381,12777,29.6,13.5,22.1,8.0,15.8,0.66,
2016-04-01,FHV - High Volume,217147,,34250,33518,20967,18.9,6.1,18.5,6.0,0.0,,
2016-04-01,Green Taxi,51458,692778,6770,6021,4789,23.9,6.6,21.9,6.4,13.0,0.51,
2016-04-01,Yellow Taxi,397780,5721501,30488,13370,12875,28.9,13.8,21.7,8.1,17.4,0.67,
2016-03-01,FHV - High Volume,195837,,31716,32016,19685,19.2,5.8,19.0,5.7,0.0,,
2016-03-01,Green Taxi,50850,673269,6816,6043,4768,24.5,6.5,22.3,6.3,12.6,0.5,
2016-03-01,Yellow Taxi,393886,5614089,30327,13379,12828,29.7,13.6,22.2,8.0,15.0,0.67,
2016-02-01,FHV - High Volume,201940,,32348,31921,19596,17.9,5.9,17.7,5.9,0.0,,
2016-02-01,Green Taxi,52093,676135,6871,6165,4843,22.8,6.5,21.1,6.3,12.3,0.5,
2016-02-01,Yellow Taxi,392470,5427875,29564,13339,12718,27.7,13.4,20.8,8.0,14.6,0.67,
2016-01-01,FHV - High Volume,166805,,32497,32056,19007,18.5,5.5,18.2,5.5,0.0,,
2016-01-01,Green Taxi,46621,613966,6994,6253,4648,23.0,6.3,21.2,6.1,12.5,0.49,
2016-01-01,Yellow Taxi,351816,4886897,29276,13347,12244,28.4,12.7,21.0,7.9,15.4,0.66,
2015-12-01,FHV - High Volume,168786,,31249,30010,18733,19.4,5.6,19.0,5.6,0.0,,
2015-12-01,Green Taxi,51880,700319,7120,6342,5030,24.6,6.4,22.5,6.3,12.9,0.48,
2015-12-01,Yellow Taxi,369686,5425880,29917,13429,12641,29.2,13.2,22.0,7.9,18.4,0.63,
2015-11-01,FHV - High Volume,163178,,30119,28845,18141,18.9,5.7,18.4,5.6,0.0,,
2015-11-01,Green Taxi,50999,685908,7132,6342,5036,23.8,6.4,21.8,6.2,12.9,0.49,
2015-11-01,Yellow Taxi,377076,5502861,30270,13428,12732,28.4,13.3,21.3,7.9,20.4,0.64,
2015-10-01,FHV - High Volume,163168,,29151,28002,17701,19.6,5.8,19.1,5.7,0.0,,
2015-10-01,Green Taxi,52598,716779,7157,6396,5083,24.6,6.5,22.7,6.3,13.3,0.48,
2015-10-01,Yellow Taxi,397244,5856687,30104,13436,12787,29.5,13.7,22.4,8.1,17.3,0.64,
2015-09-01,FHV - High Volume,144300,,26914,26050,15814,18.2,5.8,17.8,5.7,0.0,,
2015-09-01,Green Taxi,49830,687469,7181,6403,4932,23.1,6.4,21.2,6.2,13.2,0.47,
2015-09-01,Yellow Taxi,374156,5520038,29912,13423,12523,28.0,13.2,20.8,8.0,16.5,0.62,
2015-08-01,FHV - High Volume,123807,,25085,24452,14485,18.4,5.6,18.0,5.5,0.0,,
2015-08-01,Green Taxi,49429,678711,7215,6404,4911,23.8,6.4,21.8,6.2,12.8,0.46,
2015-08-01,Yellow Taxi,359029,5200177,29688,13442,12579,29.0,13.1,21.7,7.9,16.1,0.61,
2015-07-01,FHV - High Volume,112207,,22070,22646,13358,18.3,5.5,17.5,5.4,0.0,,
2015-07-01,Green Taxi,49730,681299,7321,6473,4981,23.9,6.3,21.7,6.1,13.0,0.45,
2015-07-01,Yellow Taxi,372979,5392570,29999,13490,12599,29.0,13.1,21.8,7.9,15.7,0.62,
2015-06-01,FHV - High Volume,102793,,20452,19840,12089,18.3,5.6,17.9,5.5,0.0,,
2015-06-01,Green Taxi,54628,801215,7483,6539,5196,23.8,6.5,21.6,6.3,13.3,0.45,
2015-06-01,Yellow Taxi,410831,6014938,30829,13549,12990,28.8,13.8,21.9,8.0,16.9,0.63,
2015-05-01,FHV - High Volume,94103,,19076,14122,8120,17.8,5.4,18.0,5.6,0.0,,
2015-05-01,Green Taxi,57637,862099,7513,6508,5177,24.7,6.8,22.2,6.5,13.6,0.46,
2015-05-01,Yellow Taxi,424459,6239552,31442,13580,13006,29.7,14.1,22.4,8.1,16.4,0.62,
2015-04-01,FHV - High Volume,82498,,16473,16006,9711,18.2,5.6,17.8,5.5,0.0,,
2015-04-01,Green Taxi,55473,805698,7388,6378,5032,23.7,6.7,21.2,6.4,13.0,0.46,
2015-04-01,Yellow Taxi,435701,6226205,31574,13577,13098,28.9,14.2,21.9,8.1,16.9,0.63,
2015-03-01,FHV - High Volume,72889,,14995,14290,8579,18.6,5.5,18.2,5.5,0.0,,
2015-03-01,Green Taxi,55567,793672,7254,6221,4835,24.1,6.7,21.5,6.5,13.0,0.45,
2015-03-01,Yellow Taxi,430669,6076181,31610,13584,13030,29.7,14.0,22.3,8.0,16.8,0.63,
2015-02-01,FHV - High Volume,77796,,14180,13531,8402,17.4,5.8,17.1,5.8,0.0,,
2015-02-01,Green Taxi,56242,798649,6880,5984,4723,22.1,6.9,20.0,6.6,12.9,0.45,
2015-02-01,Yellow Taxi,444633,6097785,30969,13617,12979,26.7,14.1,20.3,8.1,15.8,0.64,
2015-01-01,FHV - High Volume,60357,,13153,12544,7265,18.0,5.4,17.6,5.3,0.0,,
2015-01-01,Green Taxi,48659,673523,6919,5897,4498,23.6,6.6,21.0,6.3,12.1,0.45,
2015-01-01,Yellow Taxi,411238,5442278,31236,13633,12721,28.9,13.4,21.5,7.9,15.0,0.62,
2014-12-01,Green Taxi,53078,701885,6933,5812,4651,24.8,6.8,21.7,6.5,12.9,0.44,
2014-12-01,Yellow Taxi,419776,5868025,32048,13642,13041,29.6,13.9,22.3,7.9,14.0,0.57,
2014-11-01,Green Taxi,51600,684927,6622,5558,4499,24.3,6.9,21.3,6.6,13.0,0.45,
2014-11-01,Yellow Taxi,440576,6113253,32260,13642,13095,28.8,14.3,21.8,8.0,13.8,0.59,
2014-10-01,Green Taxi,48100,649348,6488,5347,4280,24.8,6.8,21.3,6.5,13.1,0.45,
2014-10-01,Yellow Taxi,459087,6432093,32091,13665,13162,29.9,14.5,22.7,8.1,13.8,0.59,
2014-09-01,Green Taxi,45394,623638,6311,5202,4153,23.9,6.7,20.6,6.4,13.2,0.44,
2014-09-01,Yellow Taxi,445782,6284615,32191,13647,13087,28.8,14.3,21.7,8.1,13.9,0.59,
2014-08-01,Green Taxi,43381,595477,6249,5136,3989,24.1,6.7,20.7,6.4,12.8,0.42,
2014-08-01,Yellow Taxi,409305,5709153,31429,13622,12919,29.4,13.8,22.2,7.9,13.1,0.56,
2014-07-01,Green Taxi,41094,560319,6180,5130,3958,23.9,6.4,20.8,6.1,12.7,0.42,
2014-07-01,Yellow Taxi,422771,5832040,31515,13633,12943,29.4,13.8,22.5,7.8,13.0,0.56,
2014-06-01,Green Taxi,44590,616892,6158,5069,4040,23.9,6.7,20.7,6.4,13.2,0.41,
2014-06-01,Yellow Taxi,460393,6490355,32747,13651,13154,28.9,14.6,22.0,8.0,13.6,0.57,
2014-05-01,Green Taxi,45853,636698,6136,4957,3998,25.0,6.9,21.3,6.5,13.4,0.41,
2014-05-01,Yellow Taxi,476569,6718530,33060,13581,13098,29.9,14.9,22.7,8.1,13.6,0.56,
2014-04-01,Green Taxi,43625,580228,5894,4811,3799,23.7,6.8,20.4,6.4,12.5,0.39,
2014-04-01,Yellow Taxi,487275,6613192,33086,13524,13074,29.0,15.0,22.0,8.1,12.9,0.56,
2014-03-01,Green Taxi,41718,543542,5620,4566,3547,24.1,6.9,20.7,6.5,12.2,0.37,
2014-03-01,Yellow Taxi,497661,6612023,33229,13442,13020,30.0,15.1,22.6,8.1,12.4,0.57,
2014-02-01,Green Taxi,35895,465192,5085,4207,3065,20.4,6.8,17.8,6.5,12.6,0.35,
2014-02-01,Yellow Taxi,466522,6122310,32634,13376,12852,26.9,14.6,20.2,8.0,12.6,0.59,
2014-01-01,Green Taxi,25923,331334,4564,3818,2409,19.6,6.5,17.2,6.1,11.9,0.35,
2014-01-01,Yellow Taxi,444537,5790713,32775,13366,12778,29.6,14.1,21.9,7.8,12.2,0.56,
2013-12-01,Green Taxi,19435,257398,3317,2736,1707,19.3,6.8,16.9,6.4,12.3,0.32,
2013-12-01,Yellow Taxi,450634,6176199,33335,13356,12858,29.8,14.5,22.2,7.8,13.1,0.53,
2013-11-01,Green Taxi,12692,168976,2160,1754,1044,17.9,7.1,15.5,6.6,12.3,0.34,
2013-11-01,Yellow Taxi,479527,6470910,33191,13336,12926,29.1,15.0,21.9,8.0,12.9,0.55,
2013-10-01,Green Taxi,5477,74128,1261,1128,500,13.7,6.6,12.8,6.3,12.4,0.33,
2013-10-01,Yellow Taxi,483921,6648711,33417,13334,12962,30.1,15.0,22.5,8.1,13.1,0.56,
2013-09-01,Green Taxi,1632,23087,478,445,159,10.7,6.3,10.2,6.2,12.7,0.34,
2013-09-01,Yellow Taxi,470147,6493533,33292,13340,12881,29.0,14.9,21.5,8.0,13.1,0.55,
2013-08-01,Green Taxi,283,4028,129,114,33,7.3,5.4,6.8,5.1,11.4,0.3,
2013-08-01,Yellow Taxi,406246,5553989,32388,13318,11959,27.8,14.2,20.7,7.9,0.0,0.54,
2013-07-01,Yellow Taxi,445861,5983709,32748,13327,12830,29.8,14.3,22.2,7.8,12.5,0.53,
2013-06-01,Yellow Taxi,479148,6555608,33452,13341,12922,29.1,15.0,21.7,8.0,13.0,0.54,
2013-05-01,Yellow Taxi,492962,6744373,33267,13334,12929,30.1,15.1,22.5,8.1,13.0,0.53,
2013-04-01,Yellow Taxi,503249,6714891,33084,13343,12949,29.1,15.1,21.9,8.1,12.4,0.54,
2013-03-01,Yellow Taxi,507914,6646912,32965,13334,12927,30.1,15.0,22.5,8.1,12.0,0.53,
2013-02-01,Yellow Taxi,499556,6356651,32052,13338,12867,27.0,14.6,20.4,8.1,11.7,0.54,
2013-01-01,Yellow Taxi,476544,6045087,32213,13344,12863,29.9,14.4,22.3,8.0,11.4,0.52,
2012-12-01,Yellow Taxi,474005,6326604,32257,13346,12806,29.7,14.6,22.4,8.0,12.5,0.49,
2012-11-01,Yellow Taxi,459114,6094937,31701,13324,12551,28.3,14.2,21.3,7.9,12.5,0.5,
2012-10-01,Yellow Taxi,468377,6346508,32104,13328,12555,29.2,14.6,22.0,8.1,12.8,0.5,
2012-09-01,Yellow Taxi,484783,6512203,31698,13322,12826,28.9,14.9,22.0,8.2,12.8,0.5,
2012-08-01,Yellow Taxi,463841,5357572,30777,13318,12785,29.8,14.4,22.8,8.1,12.3,0.48,
2012-07-01,Yellow Taxi,463784,5292247,31174,13320,12773,29.7,14.4,22.7,8.1,12.2,0.48,
2012-06-01,Yellow Taxi,503139,5831841,31561,13332,12940,29.1,15.1,22.6,8.3,12.8,0.48,
2012-05-01,Yellow Taxi,502097,5838542,31723,13325,12887,30.0,15.1,23.0,8.3,12.9,0.47,
2012-04-01,Yellow Taxi,515848,5861876,31579,13319,12864,29.0,15.1,22.2,8.3,12.2,0.47,
2012-03-01,Yellow Taxi,520764,5860835,31401,13320,12927,30.1,15.1,23.2,8.3,12.0,0.48,
2012-02-01,Yellow Taxi,516585,5655691,30803,13317,12896,28.1,14.9,21.8,8.3,11.6,0.48,
2012-01-01,Yellow Taxi,482811,5220456,30944,13317,12588,29.3,14.5,22.3,8.2,11.3,0.47,
2011-12-01,Yellow Taxi,481410,5493999,31196,13323,12830,29.9,14.7,22.9,8.2,12.7,0.43,
2011-11-01,Yellow Taxi,484122,5572296,31022,13319,12858,29.0,14.7,22.3,8.2,12.9,0.44,
2011-10-01,Yellow Taxi,506532,5790312,31341,13322,12857,29.9,15.0,23.0,8.3,12.7,0.45,
2011-09-01,Yellow Taxi,487470,5687581,30917,13313,12797,28.8,14.9,22.2,8.3,13.1,0.44,
2011-08-01,Yellow Taxi,427740,4851734,30144,13295,12216,28.5,13.9,21.9,8.0,12.1,0.44,
2011-07-01,Yellow Taxi,475475,5350809,30683,13270,12612,29.5,14.6,22.6,8.3,12.1,0.43,
2011-06-01,Yellow Taxi,503152,5743238,31094,13285,12760,28.8,15.1,22.4,8.3,12.6,0.43,
2011-05-01,Yellow Taxi,501708,5730613,31259,13291,12745,29.7,14.9,22.8,8.3,12.5,0.42,
2011-04-01,Yellow Taxi,490577,5456034,31022,13302,12178,27.5,15.1,21.3,8.4,12.1,0.42,
2011-03-01,Yellow Taxi,518212,5717207,30960,13288,12852,30.0,15.0,23.1,8.4,11.9,0.43,
2011-02-01,Yellow Taxi,507167,5474959,30359,13253,12678,26.8,14.9,20.8,8.4,11.8,0.43,
2011-01-01,Yellow Taxi,434297,4661317,29682,12798,11624,28.2,14.4,21.4,8.2,11.7,0.41,
2010-12-01,Yellow Taxi,445727,4985892,29414,12491,11612,28.8,14.7,21.9,8.2,12.6,0.38,
2010-11-01,Yellow Taxi,463701,5165797,29348,12347,11876,28.9,14.8,21.9,8.2,12.2,0.39,
2010-10-01,Yellow Taxi,457996,5122617,29128,12268,11271,28.5,15.3,21.9,8.4,12.3,0.39,
2010-09-01,Yellow Taxi,517972,5827246,28989,12221,11765,28.9,14.7,21.7,8.3,12.3,0.38,
2010-08-01,Yellow Taxi,404115,4490108,28574,12206,11224,28.5,14.4,21.5,8.1,11.8,0.37,
2010-07-01,Yellow Taxi,472752,5216891,30562,13307,12457,29.0,14.5,22.3,8.2,0.0,0.37,
2010-06-01,Yellow Taxi,494137,5503949,30812,13305,12671,28.6,14.9,22.2,8.3,0.0,0.36,
2010-05-01,Yellow Taxi,499374,5561218,30950,13309,12729,29.6,14.8,22.7,8.3,0.0,0.35,
2010-04-01,Yellow Taxi,504798,5502545,30827,13326,12856,28.9,14.8,22.3,8.3,0.0,0.35,
2010-03-01,Yellow Taxi,415567,3011750,28709,12183,10382,26.4,15.1,20.4,8.3,11.5,0.35,
2010-02-01,Yellow Taxi,397969,3392416,28255,12171,10045,23.1,14.6,17.6,8.3,11.1,0.35,
2010-01-01,Yellow Taxi,479376,4968817,30659,13305,12727,29.7,14.3,22.5,8.2,0.0,0.32,
2015-01-01,FHV - Other,27409,0,8149,7762,4779,18.2,3.766666666666667,17.933333333333334,3.6666666666666665,0.0,,0.0
2015-02-01,FHV - Other,31245,0,7904,7625,5139,18.2,3.9,18.2,3.8000000000000003,0.0,,0.0
2015-03-01,FHV - Other,31802,0,8153,7959,4901,18.133333333333333,3.8333333333333335,18.433333333333334,3.733333333333333,0.0,,0.0
2015-04-01,FHV - Other,46652,0,14335,13631,8242,17.466666666666665,3.8000000000000003,17.099999999999998,3.6666666666666665,0.0,,0.0
2015-05-01,FHV - Other,42414,0,13810,13064,7279,16.766666666666666,3.766666666666667,16.333333333333332,3.6666666666666665,0.0,,0.0
2015-06-01,FHV - Other,38557,0,12270,11738,6919,17.633333333333333,3.8666666666666667,17.133333333333336,3.766666666666667,0.0,,0.0
2015-07-01,FHV - Other,29236,0,10983,10417,5628,16.599999999999998,3.733333333333333,16.266666666666666,3.6666666666666665,0.0,,0.0
2015-08-01,FHV - Other,45914,0,14684,13862,7951,17.033333333333335,3.7000000000000006,16.266666666666666,3.5333333333333337,0.0,,0.0
2015-09-01,FHV - Other,75126,0,20659,19736,12170,17.033333333333335,3.8000000000000003,16.566666666666666,3.7000000000000006,0.0,,0.0
2015-10-01,FHV - Other,113778,0,29432,28204,17816,18.099999999999998,3.8666666666666667,17.96666666666667,3.766666666666667,0.0,,0.0
2015-11-01,FHV - Other,114103,0,29613,28539,18126,17.400000000000002,3.733333333333333,17.066666666666666,3.6666666666666665,0.0,,0.0
2015-12-01,FHV - Other,117948,0,30033,29075,18089,17.366666666666667,3.8333333333333335,17.099999999999998,3.733333333333333,0.0,,0.0
2016-01-01,FHV - Other,107734,0,32498,30941,17562,16.03333333333333,3.5666666666666664,15.333333333333334,3.4333333333333336,0.0,,0.0
2016-02-01,FHV - Other,123156,0,29648,28547,18145,16.96666666666667,3.8666666666666667,16.866666666666667,3.766666666666667,0.0,,0.0
2016-03-01,FHV - Other,114270,0,27057,25831,17132,18.8,3.8000000000000003,18.466666666666665,3.6999999999999997,0.0,,0.0
2016-04-01,FHV - Other,120791,0,29235,27821,18316,18.033333333333335,3.8000000000000003,17.666666666666668,3.6999999999999997,0.0,,0.0
2016-05-01,FHV - Other,119767,0,32700,27656,18013,18.26666666666667,3.8666666666666667,16.866666666666667,3.733333333333333,0.0,,0.0
2016-06-01,FHV - Other,116719,0,27962,26934,17923,18.266666666666666,3.7999999999999994,18.099999999999998,3.733333333333333,0.0,,0.0
2016-07-01,FHV - Other,101406,0,25815,24688,15445,17.233333333333334,3.6999999999999997,17.033333333333335,3.6,0.0,,0.0
2016-08-01,FHV - Other,98635,0,25646,24788,15635,17.366666666666664,3.6,17.2,3.5,0.0,,0.0
2016-09-01,FHV - Other,99438,0,24618,23520,15425,17.7,3.8000000000000003,17.400000000000002,3.733333333333333,0.0,,0.0
2016-10-01,FHV - Other,97570,0,24778,23957,15411,17.966666666666665,3.733333333333333,17.766666666666666,3.6666666666666665,0.0,,0.0
2016-11-01,FHV - Other,95901,0,23705,22801,14933,17.4,3.733333333333333,17.2,3.6666666666666665,0.0,,0.0
2016-12-01,FHV - Other,99197,0,23838,23112,14721,17.2,3.766666666666666,17.133333333333333,3.6999999999999997,0.0,,0.0
2017-01-01,FHV - Other,95586,0,24919,24289,15036,17.133333333333333,3.733333333333333,17.033333333333335,3.6333333333333333,0.0,,0.0
2017-02-01,FHV - Other,98767,0,25577,24827,15812,16.099999999999998,3.6666666666666665,16.066666666666666,3.5666666666666664,0.0,,0.0
2017-03-01,FHV - Other,103612,0,25910,24622,15559,17.8,3.8000000000000003,17.433333333333334,3.6666666666666665,0.0,,0.0
2017-04-01,FHV - Other,98242,0,25654,24228,15275,16.933333333333334,3.733333333333333,16.400000000000002,3.6,0.0,,0.0
2017-05-01,FHV - Other,97143,0,25928,24811,15976,18.3,3.6666666666666665,17.933333333333334,3.6,0.0,,0.0
2017-06-01,FHV - Other,81990,0,25875,24869,14788,16.333333333333332,3.533333333333333,16.166666666666668,3.466666666666667,43.0,,12.0
2017-07-01,FHV - Other,75609,0,25501,24792,14068,15.766666666666666,3.4000000000000004,15.666666666666666,3.3333333333333335,41.0,,13.0
2017-08-01,FHV - Other,75901,0,25261,24591,14262,16.166666666666668,3.4000000000000004,16.066666666666666,3.3333333333333335,40.0,,6.0
2017-09-01,FHV - Other,78807,0,25566,24863,14684,16.099999999999998,3.5333333333333337,16.0,3.5,40.666666666666664,,12.0
2017-10-01,FHV - Other,78810,0,24894,24153,14793,17.433333333333334,3.533333333333333,17.3,3.5,41.333333333333336,,0.0
2017-11-01,FHV - Other,78218,0,23768,23116,14186,16.8,3.6333333333333333,16.7,3.5333333333333337,41.0,,16.0
2017-12-01,FHV - Other,83142,0,24860,24000,14057,16.333333333333332,3.6666666666666665,16.099999999999998,3.6,40.666666666666664,,12.0
2018-01-01,FHV - Other,80809,0,24810,23460,13545,16.400000000000002,3.6666666666666665,15.933333333333332,3.6333333333333333,38.333333333333336,,15.0
2018-02-01,FHV - Other,79200,0,23476,22773,13704,15.5,3.6999999999999997,15.366666666666667,3.6333333333333333,37.666666666666664,,19.0
2018-03-01,FHV - Other,78007,0,22396,21861,13129,17.166666666666668,3.7000000000000006,17.066666666666666,3.6333333333333333,39.333333333333336,,12.0
2018-04-01,FHV - Other,76951,0,21982,21496,13046,16.833333333333332,3.733333333333333,16.8,3.6333333333333333,38.666666666666664,,14.0
2018-05-01,FHV - Other,75440,0,21145,20733,12667,17.666666666666668,3.766666666666667,17.666666666666668,3.6999999999999997,42.0,,15.0
2018-06-01,FHV - Other,76093,0,20945,20513,12597,17.166666666666668,3.8000000000000003,17.099999999999998,3.6999999999999997,41.666666666666664,,18.0
2018-07-01,FHV - Other,60954,0,18554,18072,10536,16.633333333333333,3.6333333333333333,16.333333333333332,3.566666666666667,39.666666666666664,,31.0
2018-08-01,FHV - Other,63077,0,18753,18325,10893,16.933333333333334,3.6,16.733333333333334,3.566666666666667,39.333333333333336,,31.0
2018-09-01,FHV - Other,59773,0,17305,16825,10117,16.866666666666667,3.8000000000000003,16.566666666666666,3.733333333333333,39.666666666666664,,326.0
2018-10-01,FHV - Other,66821,0,19975,19354,11699,17.900000000000002,3.7999999999999994,17.7,3.733333333333333,41.333333333333336,,192.0
2018-11-01,FHV - Other,68618,0,19906,19367,11719,17.166666666666668,3.8333333333333335,16.933333333333334,3.733333333333333,39.666666666666664,,17770.0
2018-12-01,FHV - Other,68096,0,20086,19524,11183,16.5,3.8333333333333335,16.366666666666667,3.733333333333333,39.333333333333336,,163.0
2019-01-01,FHV - Other,59571,0,17503,16973,10127,17.2,3.733333333333333,16.96666666666667,3.7000000000000006,35.666666666666664,,134.0
2019-02-01,FHV - Other,60797,0,16052,15685,9837,16.266666666666666,3.8666666666666667,16.2,3.7999999999999994,36.666666666666664,,0.0
2019-03-01,FHV - Other,42390,0,14515,14215,7351,14.566666666666668,3.5,14.533333333333333,3.466666666666667,34.0,,0.0
2019-04-01,FHV - Other,63090,0,16667,16361,10088,17.2,3.9,17.133333333333333,3.8333333333333335,37.0,,0.0
2019-05-01,FHV - Other,63624,0,17037,16655,10205,17.833333333333332,3.9333333333333336,17.666666666666668,3.8333333333333335,38.0,,0.0
2019-06-01,FHV - Other,60447,0,16569,16222,9837,16.866666666666667,3.8000000000000003,16.833333333333332,3.766666666666667,39.333333333333336,,0.0
2019-07-01,FHV - Other,57498,0,16574,16131,9477,16.76666666666667,3.766666666666667,16.6,3.7000000000000006,40.0,,0.0
2019-08-01,FHV - Other,53701,0,16367,15980,9374,16.766666666666666,3.6,16.633333333333333,3.566666666666667,41.0,,0.0
2019-09-01,FHV - Other,34424,0,12204,11798,6577,16.466666666666665,3.766666666666667,16.099999999999998,3.6999999999999997,42.666666666666664,,0.0
2019-10-01,FHV - Other,58205,0,18019,17521,10516,17.8,3.733333333333333,17.566666666666666,3.6999999999999997,38.666666666666664,,0.0
2019-11-01,FHV - Other,54518,0,16614,16288,9566,16.73333333333333,3.766666666666667,16.633333333333333,3.6999999999999997,37.666666666666664,,0.0
