date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared
2023-07-01,Yellow Taxi,93315,2347673,11396,8306,6811,25.4,7.9,21.5,6.8,18.3,0.79,
2023-06-01,FHV - High Volume,645549,,81025,77565,55701,21.5,6.5,21.1,6.4,20.0,,4201.0
2023-06-01,Green Taxi,2184,48844,889,855,479,16.8,3.6,16.4,3.5,15.5,0.69,
2023-06-01,Yellow Taxi,109766,2802472,11736,8384,7171,25.7,8.4,21.5,7.2,16.6,0.81,
2023-05-01,FHV - High Volume,640244,,80394,77106,55261,22.2,6.5,21.8,6.4,20.0,,4318.0
2023-05-01,Green Taxi,2231,48349,922,879,475,16.8,3.7,16.3,3.6,15.3,0.68,
2023-05-01,Yellow Taxi,112843,2867319,11661,8317,7186,26.8,8.6,22.4,7.3,16.8,0.81,
2023-04-01,FHV - High Volume,638161,,79657,76511,54269,21.3,6.5,20.9,6.4,19.0,,3515.0
2023-04-01,Green Taxi,2179,45836,933,884,481,16.3,3.5,15.8,3.5,14.6,0.67,
2023-04-01,Yellow Taxi,109071,2704765,11236,8172,6916,25.4,8.4,21.5,7.3,15.9,0.8,
2023-03-01,FHV - High Volume,658499,,79004,75941,55118,22.5,6.6,22.1,6.4,19.0,,12983.0
2023-03-01,Green Taxi,2323,47270,942,884,498,17.5,3.6,16.8,3.5,14.5,0.66,
2023-03-01,Yellow Taxi,109230,2658778,11235,8119,6970,26.6,8.5,22.5,7.3,15.5,0.81,
2023-02-01,FHV - High Volume,641461,,77137,74404,53180,20.0,6.6,19.7,6.4,18.0,,10811.0
2023-02-01,Green Taxi,2313,46203,928,891,504,15.8,3.6,15.5,3.5,14.1,0.66,
