date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2022-10-01,FHV - High Volume,622770,13923454.05,76651,73747,51532,21.7,6.6,21.2,6.5,,3573.0,19305870,,4.03,19.95,431627075.43,110763.0,31,3454782.6163,31122.5826
2022-10-01,FHV - Other,38735,,13757,13143,6722,15.57,3.83,15.27,3.73,,,1200785,,4.96,28.43,,,31,,2381.6289
2022-10-01,Green Taxi,2236,39956.0,966,929,485,16.2,3.5,15.8,3.5,0.69,297.16129032258067,69316,79028.0,3.0,15.82,1238636.0,9212.0,31,13301.0669,83.2893
2022-10-01,Yellow Taxi,118197,2301955.0,10737,7585,6442,26.3,9.2,21.9,7.8,0.79,26685.1935483871,3664107,4769703.0,2.87,16.67,71360605.0,827241.0,31,801779.9382,4207.9424
2022-11-01,FHV - High Volume,602819,13054430.46,77228,74237,51703,20.9,6.5,20.5,6.3,,9397.0,18084570,,4.02,19.71,391632913.81,281910.0,30,3249783.6126,29058.3977
2022-11-01,FHV - Other,37973,,13598,13333,6718,14.83,3.77,14.67,3.73,,,1139190,,5.1,28.45,,,30,,2322.3782
2022-11-01,Green Taxi,2076,35983.0,958,910,458,15.1,3.5,14.5,3.4,0.69,268.1333333333333,62280,70690.0,2.92,15.37,1079490.0,8044.0,30,12336.4958,72.6631
2022-11-01,Yellow Taxi,108146,2088889.0,10804,7685,6100,23.8,9.1,19.9,7.7,0.8,24214.433333333334,3244380,4210986.0,2.88,16.39,62666670.0,726433.0,30,726230.625,3732.781
2022-12-01,FHV - High Volume,634379,14032208.83,78091,74877,52087,21.6,6.6,21.1,6.4,,10672.0,19665749,,3.89,19.58,434998473.67,330832.0,31,3609072.0242,30584.471
2022-12-01,FHV - Other,41369,,14132,13603,6644,14.67,3.9,14.43,3.83,,,1282439,,4.67,26.48,,,31,,2395.4128
2022-12-01,Green Taxi,2336,45204.0,966,942,496,16.3,3.6,16.1,3.5,0.66,302.4516129032258,72416,83965.0,2.85,15.07,1401324.0,9376.0,31,15874.417,82.4847
2022-12-01,Yellow Taxi,109287,2358881.0,10751,7791,6529,26.0,8.7,22.0,7.5,0.78,26278.58064516129,3387897,4520107.0,2.84,16.92,73125311.0,814636.0,31,830130.3799,3850.7907
2023-01-01,FHV - High Volume,596095,11725498.46,77641,74553,50996,21.2,6.4,20.7,6.3,,9998.0,18478945,,3.86,18.12,363490452.31,309938.0,31,3039472.1339,28514.7988
2023-01-01,FHV - Other,36999,,13718,13132,6343,14.4,3.73,14.27,3.63,,,1146969,,4.55,24.43,,,31,,2088.0793
2023-01-01,Green Taxi,2199,43733.0,960,911,488,16.6,3.5,16.1,3.5,0.65,288.96774193548384,68169,81216.0,2.67,13.59,1355723.0,8958.0,31,16391.5965,72.7503
2023-01-01,Yellow Taxi,98569,2335375.0,10594,7737,6354,25.5,8.2,21.6,7.1,0.8,21453.09677419355,3055639,3954159.0,2.71,14.37,72396625.0,665046.0,31,860673.2562,3316.5027
