industry,column,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,mape,smape,mse,rmse,training time
FHV - High Volume,avg_trip_distance,0.01,10.0,multiplicative,0.12516185114062828,3.0611637785819785,3.0134053905278604,0.01857311290404338,0.13628320844492686,0.8177576065063477
FHV - High Volume,avg_trip_distance,0.01,15.0,additive,0.13243095505901256,3.241761556247046,3.1859877540294095,0.020333011839857893,0.14259387027448933,0.7959046363830566
FHV - High Volume,avg_trip_distance,0.01,15.0,multiplicative,0.12082700299366711,2.9551050220685116,2.9106509888727947,0.01736907376051534,0.1317917818398224,0.6657044887542725
FHV - High Volume,avg_trip_distance,0.01,20.0,additive,0.12602806197936878,3.0852827276318324,3.0350002030730074,0.01852742627820231,0.13611548875202378,0.7356536388397217
FHV - High Volume,avg_trip_distance,0.01,20.0,multiplicative,0.13876564822520485,3.393017510638321,3.3332983018454065,0.022453206569715767,0.14984394071738694,0.6086945533752441
FHV - High Volume,avg_trip_distance,0.05,0.01,additive,0.06992003835928418,1.7166066059541507,1.699078191017105,0.0061862339002621315,0.07865261534279792,0.8277125358581543
FHV - High Volume,avg_trip_distance,0.05,0.01,multiplicative,0.053766473675694315,1.3233909129432806,1.31623460329475,0.003571978614488726,0.05976603227995586,0.6810016632080078
FHV - High Volume,avg_trip_distance,0.05,0.05,additive,0.08527394509963286,2.0895466720568665,2.062730031215169,0.009250901077569327,0.09618160467349943,0.9845643043518066
FHV - High Volume,avg_trip_distance,0.05,0.05,multiplicative,0.07177376446248014,1.759881573490905,1.7448391397079062,0.006012507016293543,0.07754035733921752,0.7327816486358643
FHV - High Volume,avg_trip_distance,0.05,0.1,additive,0.14854401808782855,3.6503358629338623,3.587010374939016,0.025970615950266146,0.1611540131373282,1.4034714698791504
FHV - High Volume,avg_trip_distance,0.05,0.1,multiplicative,0.13157832334610917,3.231644760387837,3.1857046593142555,0.021500839013349028,0.1466316439700143,1.5106916427612305
FHV - High Volume,avg_trip_distance,0.05,1.0,additive,0.15570727291942452,3.8253933492517165,3.7596135225613385,0.028702925980052574,0.1694193789979546,0.8501110076904297
FHV - High Volume,avg_trip_distance,0.05,1.0,multiplicative,0.14679498779724887,3.604247262246148,3.5503390028018766,0.02648114245447587,0.16273027516253966,1.3199543952941895
FHV - High Volume,avg_trip_distance,0.05,5.0,additive,0.15671406652536102,3.849893007400413,3.7830940962338873,0.02899210169073826,0.17027067184555966,1.0749571323394775
FHV - High Volume,avg_trip_distance,0.05,5.0,multiplicative,0.1463967804717573,3.5945974974613257,3.5411338517257516,0.026381202732780478,0.16242291320124905,1.636512279510498
FHV - High Volume,avg_trip_distance,0.05,10.0,additive,0.15665094555210954,3.848401255683704,3.781665997227428,0.028978728128993225,0.17023139583811567,0.8473954200744629
FHV - High Volume,avg_trip_distance,0.05,10.0,multiplicative,0.14665251119793854,3.600832008778471,3.547125156067196,0.026442303987563,0.16261089750555774,1.2279713153839111
FHV - High Volume,avg_trip_distance,0.05,15.0,additive,0.15645263166603882,3.843572755044386,3.777044944406534,0.0289224404978508,0.17006598865690575,0.9816226959228516
FHV - High Volume,avg_trip_distance,0.05,15.0,multiplicative,0.13201179006757213,3.2424320155780095,3.2029452261470275,0.02331359207576667,0.1526878910580884,1.791811466217041
FHV - High Volume,avg_trip_distance,0.05,20.0,additive,0.15596619906191758,3.831746806637227,3.7657417236579422,0.028802517647186377,0.16971304501182688,0.8975107669830322
FHV - High Volume,avg_trip_distance,0.05,20.0,multiplicative,0.1462717660514481,3.5915341720287355,3.538184378488523,0.02635484437719814,0.16234175179909247,1.0774562358856201
FHV - High Volume,avg_trip_distance,0.1,0.01,additive,0.10422288465022363,2.5513040380296377,2.5106143724226038,0.013830391867080067,0.11760268647900891,0.7202451229095459
FHV - High Volume,avg_trip_distance,0.1,0.01,multiplicative,0.10023806565703956,2.4511863862680627,2.4131553702059847,0.012984141588908477,0.11394797755514785,1.1004421710968018
FHV - High Volume,avg_trip_distance,0.1,0.05,additive,0.09808553910288749,2.40259332199983,2.36531492654957,0.012776287778352123,0.11303224220704516,1.0265564918518066
FHV - High Volume,avg_trip_distance,0.1,0.05,multiplicative,0.0715547888437807,1.755206012173724,1.7431364241608973,0.005953309065350724,0.07715768960609645,1.3669369220733643
FHV - High Volume,avg_trip_distance,0.1,0.1,additive,0.1885955497622197,4.639163617660038,4.51932081733038,0.0426464634720575,0.20651020185951469,33.49007487297058
