industry,column,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,mape,smape,mse,rmse,training time
FHV - High Volume,total_trips,0.15,0.05,multiplicative,860772.1500667293,4.329055554279409,4.4543187607645995,952496855409.2533,975959.4537731848,0.8137333393096924
FHV - High Volume,total_trips,0.15,0.1,additive,851301.7301501423,4.268580095978136,4.389383431563816,929045794201.6559,963870.2164719355,0.9936380386352539
FHV - High Volume,total_trips,0.15,0.1,multiplicative,918838.1121297615,4.627313106071856,4.763464081871977,1032348154265.3761,1016045.3504964117,0.8186230659484863
FHV - High Volume,total_trips,0.15,1.0,additive,858563.1733643025,4.32642992092431,4.4655721362580145,1051647453151.12,1025498.6363477623,0.8219447135925293
FHV - High Volume,total_trips,0.15,1.0,multiplicative,682163.854645573,3.4679868097739353,3.545385408394893,625940369414.4391,791163.933337737,0.7590787410736084
FHV - High Volume,total_trips,0.15,5.0,additive,1846438.217988397,9.291524373039618,9.813609409374987,3874928214995.6265,1968483.7350091634,0.8381202220916748
FHV - High Volume,total_trips,0.15,5.0,multiplicative,1050365.8975412492,5.3185364165025915,5.506415042758256,1390851661944.4202,1179343.7420635342,1.348085641860962
FHV - High Volume,total_trips,0.15,10.0,additive,1712509.6415847398,8.65288106783575,9.123423044385072,3423390060579.42,1850240.5412754905,28.263185024261475
FHV - High Volume,total_trips,0.15,10.0,multiplicative,1034119.6414292637,5.23707573820967,5.419545136517855,1351201665760.641,1162412.0034482786,0.6794195175170898
FHV - High Volume,total_trips,0.15,15.0,additive,861871.8623281665,4.343824377832973,4.484988641984631,1066056961386.3448,1032500.3444969618,0.7883481979370117
FHV - High Volume,total_trips,0.15,15.0,multiplicative,791201.8975637764,4.017286979854432,4.124341679193453,826545567267.0142,909145.5149023252,0.6449472904205322
FHV - High Volume,total_trips,0.15,20.0,additive,931731.6313504735,4.695055425399374,4.857412347091471,1221861378323.2556,1105378.3869441522,0.8452036380767822
FHV - High Volume,total_trips,0.15,20.0,multiplicative,1035872.4362927343,5.245904599444284,5.429015114881677,1355856930241.7322,1164412.697561192,0.8895726203918457
FHV - High Volume,total_trips,0.2,0.01,additive,770465.5936514726,3.8552108562405825,3.955118058808898,774177775832.0006,879873.7272086266,0.8305485248565674
FHV - High Volume,total_trips,0.2,0.01,multiplicative,551562.1021792572,2.768928730890345,2.8292831928074444,467801043075.792,683959.8256299795,0.7179601192474365
FHV - High Volume,total_trips,0.2,0.05,additive,837816.6418464292,4.198545253759915,4.314638833041071,894519027632.6481,945790.1604651256,0.7521078586578369
FHV - High Volume,total_trips,0.2,0.05,multiplicative,864950.8926866638,4.350281078728935,4.4759430922718675,955664539055.0513,977580.9629156304,0.692469596862793
FHV - High Volume,total_trips,0.2,0.1,additive,1786315.5959462125,8.973086834470434,9.44008014246788,3506250343455.901,1872498.422818001,1.0250823497772217
FHV - High Volume,total_trips,0.2,0.1,multiplicative,605269.8443490347,3.053840629832196,3.119346017167748,504949741064.0229,710598.1572337652,0.7007296085357666
FHV - High Volume,total_trips,0.2,1.0,additive,1907733.3770142205,9.620174831360284,10.180279093380655,4090528118221.6187,2022505.4062280324,27.19204044342041
FHV - High Volume,total_trips,0.2,1.0,multiplicative,2472070.8322607377,12.467934463379347,13.378165586461613,6577219637537.965,2564609.0613459907,27.53973913192749
FHV - High Volume,total_trips,0.2,5.0,additive,2841279.292803439,14.302009005444017,15.511979658047771,8726386314118.211,2954045.7535587037,27.59623694419861
FHV - High Volume,total_trips,0.2,5.0,multiplicative,2174517.0378730274,10.980140187933735,11.701020929945328,5219967055666.604,2284724.722076295,27.747589588165283
FHV - High Volume,total_trips,0.2,10.0,additive,2557958.8548758477,12.88101972932476,13.860462966658712,7109284850523.527,2666324.2208185275,18.903533697128296
FHV - High Volume,total_trips,0.2,10.0,multiplicative,1708338.843796997,8.637242811903569,9.101131629425884,3376428744570.4126,1837506.120961346,21.624566555023193
FHV - High Volume,total_trips,0.2,15.0,additive,2925436.378516119,14.740486399979602,16.02435462371832,9188338603838.62,3031227.243846726,27.15588355064392
FHV - High Volume,total_trips,0.2,15.0,multiplicative,2720191.158025179,13.701466928964843,14.792757761662072,7881988931819.38,2807488.010984086,29.003220558166504
FHV - High Volume,total_trips,0.2,20.0,additive,1190068.16692501,6.003195029282562,6.250938103971036,1834138291821.4001,1354303.6187729102,27.21815013885498
FHV - High Volume,total_trips,0.2,20.0,multiplicative,2258964.035673872,11.39029250698435,12.143701514984468,5487673127290.866,2342578.3076112666,28.08716106414795
FHV - High Volume,unique_vehicles,0.01,0.01,additive,5382.912261072409,6.57443717039511,6.315842024474452,36118747.936153315,6009.887514434302,0.6377573013305664
