inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,year,emission_tco2e
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2011,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2011,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2011,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2011,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2011,186746.53
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2011,31242.89
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2011,19318.69
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2011,0.69
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2011,2774598.8
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2011,1186779.03
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2011,212425.2
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2011,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2011,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2011,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2011,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2011,428339.93
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2011,655243.57
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2011,14167.14
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2011,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2011,53780.96
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2011,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2011,1564.9
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2011,1925476.22
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2011,3849.4
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2011,278777.1
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2011,73681.63
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2011,12202449.45
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2011,386197.57
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2011,1348893.88
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2011,66729.46
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2011,59448.58
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2011,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2011,526.53
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2011,0
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2011,0
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2011,563982.05
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2011,33418.18
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2012,1295395.41
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2012,806233.09
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2012,1590843.58
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2012,46.11
